bin_center,count
76.7,1
230.0,0
383.3,28
536.7,64
690.0,21
843.3,8
996.7,4
1150.0,2
1303.3,0
1456.7,2
1610.0,0
1763.3,0
1916.7,0
2070.0,0
2223.3,1
