bin_center,count
76.7,27
230.0,17
383.3,85
536.7,212
690.0,102
843.3,43
996.7,45
1150.0,22
1303.3,8
1456.7,9
1610.0,4
1763.3,1
1916.7,1
2070.0,1
2223.3,1
