bin_center,count
633.3,81
1900.0,240
3166.7,140
4433.3,85
5700.0,60
6966.7,28
8233.3,11
9500.0,6
10766.7,2
12033.3,1
13300.0,0
14566.7,0
15833.3,26
17100.0,2
18366.7,1
