bin_center,count
70.0,23
210.0,17
350.0,11
490.0,145
630.0,91
770.0,39
910.0,31
1050.0,30
1190.0,7
1330.0,9
1470.0,4
1610.0,4
1750.0,1
1890.0,1
2030.0,1
