bin_center,count
366.7,24
1100.0,41
1833.3,49
2566.7,39
3300.0,17
4033.3,6
4766.7,8
5500.0,5
6233.3,2
6966.7,0
7700.0,1
8433.3,1
9166.7,0
9900.0,0
10633.3,1
