bin_center,count
566.7,72
1700.0,167
2833.3,87
3966.7,37
5100.0,22
6233.3,18
7366.7,8
8500.0,3
9633.3,0
10766.7,0
11900.0,0
13033.3,0
14166.7,0
15300.0,17
16433.3,5
